OBJECTID,rotacja,sym,sym_w,X,Y
485,159,2,28,566065.335300000035204,244687.054200000013225
486,167,3,28,566070.844700000016019,244683.178899999998976
487,78,4,18,566077.356600000057369,244683.597899999993388
488,304,3,16,566081.768999999971129,244682.773500000010245
489,54,3,22,566075.800700000021607,244689.742700000002515
490,168,2,21,566082.076499999966472,244688.463099999993574
491,325,4,20,566077.771100000012666,244697.657600000005914
492,171,3,27,566067.786599999992177,244691.846599999989849
493,276,4,17,566084.470300000044517,244707.333500000007916
494,291,4,22,566081.492800000007264,244703.957900000008522
495,64,4,18,566075.966299999970943,244706.750300000014249
496,67,1,26,566052.660000000032596,244722.946999999985565
497,8,2,19,566057.725399999995716,244722.537299999996321
498,138,3,20,566045.242100000032224,244725.121199999994133
499,118,2,26,566044.072299999999814,244725.833500000007916
500,86,4,28,566037.745899999979883,244728.011200000008103
501,72,4,23,566029.985299999942072,244721.749099999986356
502,103,1,16,566051.147499999962747,244714.181600000010803
503,254,1,28,566048.798199999961071,244709.065499999996973
504,165,2,16,566054.869399999966845,244707.701999999990221
505,68,1,21,564901.775400000042282,245112.147599999996601
506,56,3,25,564904.933199999970384,245112.400499999988824
507,160,2,21,565676.512899999972433,244724.754899999999907
508,128,2,24,565139.274500000057742,244898.338599999988219
509,208,1,18,565140.404899999964982,244896.872399999992922
510,184,2,29,565830.190999999991618,244837.102400000003399
511,98,4,18,565796.627499999944121,244832.366199999989476
512,101,1,27,564900.764500000048429,244779.301500000001397
513,89,1,15,564904.351299999980256,244778.391499999997905
514,160,3,21,564384.723499999963678,245106.102299999998650
515,199,3,22,564384.575700000044890,245099.112400000012713
516,171,1,29,564391.322500000009313,245104.041200000006938
517,29,3,18,564394.726000000024214,245102.581000000005588
518,342,3,29,564401.380000000004657,245099.243599999987055
519,191,2,15,564396.651399999973364,245094.744299999991199
520,273,4,23,564400.842300000018440,245093.877999999996973
521,115,4,15,564409.602500000037253,245088.935900000011316
522,76,3,23,564456.622100000036880,245102.198000000003958
523,343,4,25,564459.640800000051968,245095.780200000008335
524,263,4,29,564452.807799999951385,245085.964000000007218
525,51,2,16,564459.890200000023469,245071.930800000001909
526,57,4,27,564478.919100000057369,245084.572199999995064
527,2,4,23,564497.557299999985844,245084.316099999996368
528,97,1,27,564464.689200000022538,245060.630200000014156
529,17,1,29,564484.947200000053272,245094.843800000002375
530,216,3,27,564493.308700000052340,245066.991199999989476
531,272,3,27,564492.681899999966845,245067.434700000012526
532,49,3,15,564497.740100000053644,245066.715999999985797
533,201,4,18,564462.576400000019930,245104.085699999995995
534,94,4,17,564460.351699999999255,245086.377399999997579
535,15,3,17,564458.931600000010803,245085.780900000012480
